n_clusters,BIC,Silhouette Score,Davies-Bouldin Index
124,90182.16145467534,-0.17123277960892874,2.923021183181479
125,86493.68087882159,-0.1708029431661013,2.9482401462438035
126,119723.64552969913,-0.18551016716558036,2.7301829660128503
127,100697.74087715746,-0.1830238146601291,2.9565870631246742
128,80612.77477904284,-0.17951435813926336,2.9761189425668
129,119127.77521272548,-0.18425162782728563,2.6868160136935826
130,75987.8789711305,-0.16978483237088748,3.0654300157775696
131,79138.92290956734,-0.16885650005741856,2.9072894789742643
132,101923.06730835246,-0.176128481180338,2.82122615214571
133,114019.65774649274,-0.1724709647433821,2.867997863136401
134,80699.74565624679,-0.18247533076459732,2.848237961681573
135,149518.76019665008,-0.17372808700981343,2.753546391019733
136,55384.36551696446,-0.16725050935616273,2.9804644246908616
137,70262.73907402491,-0.17009857579502147,2.9593158730013744
138,73165.09824595731,-0.18012726956469371,2.932227034183546
139,101649.23031510136,-0.1875274885031239,2.721621445349833
140,64070.773474171845,-0.18175199211424747,2.9528665228864965
141,97797.3266568169,-0.18797226191530375,2.980526021409172
142,139162.3814770725,-0.18726782481363677,2.77106631084123
143,157864.0049413807,-0.1729057053821186,2.8328378472941806
144,112754.08567730183,-0.18312781892980823,2.7787837383397807
145,127307.9249789976,-0.1949051784868446,2.6752756784506433
146,102046.14239721857,-0.16850151651085452,2.815801887127426
147,118188.72112085897,-0.1948594463057397,2.84211318203458
148,111063.14300126504,-0.18027231961218915,2.9191964805710557
149,92425.96492453845,-0.18160747057127052,2.809770139079775
150,71789.89151204389,-0.19487535715975401,2.806436669462974
151,130275.60133734418,-0.1800611700350513,2.772186404638622
152,131844.72680128214,-0.18806269418191998,2.7086568830638176
153,142289.85286881746,-0.17879008026416934,2.750210349697613
154,125512.50610089308,-0.1855737709089975,2.7312961767414223
155,176062.11962051023,-0.1930005979264235,2.703478163321297
156,77286.43953697107,-0.19009794668430985,2.849703892839248
157,100576.95598784235,-0.18801513799231578,2.772546863350925
158,123204.89819523445,-0.20550164776176758,2.7518264510535007
159,106678.35610088892,-0.19341432243571768,2.716551452115632
160,88260.68586333617,-0.18388113212214355,2.740937730009127
161,123379.89573582748,-0.1873515687830371,2.5907684474001824
162,146773.8659775428,-0.17878615741330267,2.6399598668025597
163,154272.185802529,-0.1925066285322909,2.6778221070405994
164,140214.41954840036,-0.18823036530895154,2.6845405841671637
165,103558.34307912539,-0.18511170358772905,2.8338649007826353
166,128287.88637902468,-0.18571629342335177,2.6605285049899794
167,149786.17086083145,-0.19046786977895203,2.716104201552016
168,120068.48007283143,-0.19877236519117802,2.6156820051868577
169,162336.22212831088,-0.18426802508864465,2.595432889824763
170,129645.23169089906,-0.19404474590429743,2.6746032130174378
171,138317.6037733594,-0.182715009200803,2.726311612658318
172,131360.83110059358,-0.19222428089895696,2.742801557497313
